Rank,Data Center Market,Country / Region,Country,Capacity (MW),% Clean (Regional Grid),% Fossil (Regional Grid),Regional Grid Source,Corporate Adjustment Notes,General Notes,Latitude,Longitude
1,Northern Virginia,"Virginia, USA",United States,2552,36,64,https://www.eia.gov/state/?sid=VA,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Virginia) from EIA; capacity is provisioned power, not real-time load.",38.9,-77.4
2,Beijing,China,China,1799,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",39.9,116.4
3,London,United Kingdom,United Kingdom,1053,55,45,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=GBR,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",51.5,-0.1
4,Singapore,Singapore,Singapore,1030,5,95,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=SGP,Google/Microsoft/AWS report 100% renewable matching via PPAs in Singapore,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",1.35,103.8
5,Dallas,"Texas, USA",United States,1023,40,60,https://www.eia.gov/state/?sid=TX,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Texas) from EIA; capacity is provisioned power, not real-time load.",32.8,-96.8
6,Dublin,Ireland,Ireland,997,70,30,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=IRL,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",53.3,-6.3
7,Tokyo,Japan,Japan,918,35,65,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=JPN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",35.7,139.7
8,Frankfurt,Germany,Germany,917,55,45,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=DEU,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",50.1,8.7
9,Hong Kong,China,China,912,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",22.3,114.2
10,Amsterdam,Netherlands,Netherlands,883,70,30,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=NLD,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",52.4,4.9
11,Shanghai,China,China,879,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",31.2,121.5
12,Chicago,"Illinois, USA",United States,858,60,40,https://www.eia.gov/state/?sid=IL,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Illinois) from EIA; capacity is provisioned power, not real-time load.",41.9,-87.6
13,Los Angeles,"California, USA",United States,837,60,40,https://www.eia.gov/state/?sid=CA,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (California) from EIA; capacity is provisioned power, not real-time load.",34,-118.2
14,Sydney,Australia,Australia,828,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=AUS,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",-33.9,151.2
15,Phoenix,"Arizona, USA",United States,817,40,60,https://www.eia.gov/state/?sid=AZ,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Arizona) from EIA; capacity is provisioned power, not real-time load.",33.4,-112.1
16,Paris,France,France,807,90,10,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=FRA,Grid already very clean due to nuclear; corporate matching still common,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",48.9,2.4
17,Guangzhou,China,China,791,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",23.1,113.3
18,Silicon Valley,"California, USA",United States,776,60,40,https://www.eia.gov/state/?sid=CA,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (California) from EIA; capacity is provisioned power, not real-time load.",37.4,-122.1
19,Mumbai,India,India,749,25,75,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=IND,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",19.1,72.9
20,Jakarta,Indonesia,Indonesia,724,20,80,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=IDN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",-6.2,106.8
21,Osaka,Japan,Japan,710,35,65,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=JPN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",34.7,135.5
22,Chongqing,China,China,702,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",29.6,106.6
23,Johannesburg,South Africa,South Africa,673,15,85,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=ZAF,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",-26.2,28
24,Toronto,Canada,Canada,662,80,20,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CAN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",43.7,-79.4
25,Seoul,South Korea,South Korea,641,40,60,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=KOR,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",37.6,127
26,São Paulo,Brazil,Brazil,621,85,15,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=BRA,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",-23.6,-46.6
27,Wuhan,China,China,601,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",30.6,114.3
28,Denver,"Colorado, USA",United States,584,40,60,https://www.eia.gov/state/?sid=CO,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Colorado) from EIA; capacity is provisioned power, not real-time load.",39.7,-104.9
29,Zurich,Switzerland,Switzerland,570,75,25,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHE,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",47.4,8.5
30,Melbourne,Australia,Australia,558,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=AUS,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",-37.8,145
31,Chengdu,China,China,546,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",30.6,104.1
32,Qingdao,China,China,542,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",36.1,120.4
33,Kuala Lumpur,Malaysia,Malaysia,534,20,80,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=MYS,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",3.1,101.7
34,New York City,"New York, USA",United States,523,60,40,https://www.eia.gov/state/?sid=NY,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (New York) from EIA; capacity is provisioned power, not real-time load.",40.7,-74
35,Bangkok,Thailand,Thailand,517,20,80,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=THA,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",13.7,100.5
36,Madrid,Spain,Spain,510,65,35,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=ESP,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",40.4,-3.7
37,Chennai,India,India,503,25,75,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=IND,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",13.1,80.3
38,Austin,"Texas, USA",United States,496,40,60,https://www.eia.gov/state/?sid=TX,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Texas) from EIA; capacity is provisioned power, not real-time load.",30.3,-97.7
39,Nanjing,China,China,492,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",32.1,118.8
40,Manila,Philippines,Philippines,485,25,75,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=PHL,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",14.6,121
41,Seattle,"Washington, USA",United States,476,80,20,https://www.eia.gov/state/?sid=WA,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (Washington) from EIA; capacity is provisioned power, not real-time load.",47.6,-122.3
42,Warsaw,Poland,Poland,470,20,80,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=POL,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",52.2,21
43,New Jersey,"New Jersey, USA",United States,464,50,50,https://www.eia.gov/state/?sid=NJ,Hyperscalers often claim renewable matching via PPAs,"State-level grid mix (New Jersey) from EIA; capacity is provisioned power, not real-time load.",40.1,-74.5
44,Shenzhen,China,China,456,30,70,https://ourworldindata.org/grapher/electricity-prod-source-stacked?country=CHN,Hyperscalers may claim renewable matching via PPAs,"Country-level grid mix from Our World in Data; capacity is provisioned power, not real-time load.",22.6,114.1
